OBJECTID,SUB_DESCRIPTION,BUSINESS_NAME,BUSINESS_ADDRESS,EXPIRY_DATE,LICENSE_NUMBER,LICENSE_TYPE
1,Other,2581035 ONTARIO INC O/A CTRL V HAMILTON,840 QUEENSTON RD  STONEY CREEK ON L8G 4A8,2022/09/12 00:00:00+00,19 296592 02 1T,Places of Amusement
2,Other,2629176 ON INC O/A NEXT LEVEL ESCAPE ROOMS,1039 UPPER JAMES ST  HAMILTON ON,2022/12/20 00:00:00+00,19 297102 02 1T,Places of Amusement
3,Amusement Rides,ASTRO ZODIAC ENTERPRISES LIMITED ,999 UPPER WENTWORTH ST  HAMILTON ON L9A 4X5,2022/06/30 00:00:00+00,21 299218 00 1T,Places of Amusement
4,Other,BNZ GROUP INC O/A ALCATRAZ MYSTERY STUDIOS,604 CONCESSION ST  HAMILTON ON,2022/03/13 00:00:00+00,19 295628 02 1T,Places of Amusement
5,Carnival,D A CAMPBELL AMUSEMENTS LIMITED,812 OLD HWY 8  FLAMBOROUGH ON,2022/09/26 00:00:00+00,14 277563 07 1T,Places of Amusement
6,Carnival,D.A. CAMPBELL AMUSEMENTS LIMITED,2550 REGIONAL ROAD 56  GLANBROOK ON L0R 1C0,2022/09/19 00:00:00+00,14 278924 07 1T,Places of Amusement
7,Amusement Rides,D.A. CAMPBELL AMUSEMENTS LTD,19 MEMORIAL SQ  DUNDAS ON,2022/12/07 00:00:00+00,21 299878 00 1T,Places of Amusement
8,Other,JUMP START RENTALS LTD,1265 FENNELL AVE E  HAMILTON ON,2022/10/20 00:00:00+00,17 293214 04 1T,Places of Amusement
9,Other,KEYMASTERS,305 GRAYS RD  HAMILTON ON,2022/01/10 00:00:00+00,17 292684 01 1T,Places of Amusement
10,Other,LAZER MANIA INC,865 UPPER JAMES ST  HAMILTON ON L9C 3A3,2022/02/15 00:00:00+00,14 251685 06 1T,Places of Amusement
11,Carnival,MAGICAL MIDWAYS INC,1770 MAIN ST E  HAMILTON ON,2022/04/25 00:00:00+00,14 284457 06 1T,Places of Amusement
12,Billiard/Bagatelle Tables,ON THE SNAP BILLIARDS & LOUNGE LTD,152 GRAY RD UPPE STONEY CREEK ON L8G 3V2,2022/03/04 00:00:00+00,15 284044 06 1T,Places of Amusement
13,Bingo Parlour,PRINCESS BINGO,300 FENNELL AVE E  HAMILTON ON L9A 1T2,2022/07/23 00:00:00+00,15 183371 07 1T,Places of Amusement
14,Amusement Water Rides,PT WATERSPORTS INC. ,5050 HARRISON RD  GLANBROOK ON,2022/04/16 00:00:00+00,18 294071 03 1T,Places of Amusement
