OBJECTID,BUSINESS_NAME,BUSINESS_ADDRESS,EXPIRY_DATE,LICENSE_NUMBER,LICENSE_TYPE
1,1297667 ONTARIO LTD O/A  MARQUIS GARDENS BANQUET AND CONVENTION CENTRE,1050 RYMAL RD E  HAMILTON ON,2022/09/11 00:00:00+00,13 132193 07 1S,Public Halls
2,1571365 ONTARIO LTD. O/A MARQUIS GARDENS ANCASTER,1365 SANDHILL DR  ANCASTER ON,2022/08/01 00:00:00+00,14 233417 07 1S,Public Halls
3,AFRO-CANADIAN CARIBBEAN ASSOCIATION OF HAMILTON & DISTRICT,752 BARTON ST E  HAMILTON ON L8L 3B1,2022/04/25 00:00:00+00,14 276813 07 1S,Public Halls
4,ANCASTER AGRICULTURAL SOCIETY,630 TRINITY RD S  ANCASTER ON,2022/09/02 00:00:00+00,14 278502 07 1S,Public Halls
5,BINBROOK AGRICULTURAL SOCIETY,2550 REGIONAL ROAD 56  GLANBROOK ON L0R 1C0,2022/08/23 00:00:00+00,17 292530 04 1S,Public Halls
6,CARMEN'S CATERING LTD.,1520 STONE CHURCH RD E  HAMILTON ON,2022/10/22 00:00:00+00,15 124926 06 1S,Public Halls
7,COLUMBUS CLUB OF HAMILTON,222 QUEENSTON RD  HAMILTON ON,2022/04/21 00:00:00+00,15 287332 06 1S,Public Halls
8,COMMUNITY CENTRE ARMENIAN,191 BARTON ST  STONEY CREEK ON,2022/11/15 00:00:00+00,14 169827 07 1S,Public Halls
9,CROATIAN NATIONAL HOME,1925 BARTON ST E  HAMILTON ON,2022/06/06 00:00:00+00,15 124921 07 1S,Public Halls
10,GERMANIA CLUB,863 KING ST E  HAMILTON ON,2022/05/29 00:00:00+00,15 124903 07 1S,Public Halls
11,GLOBAL SPECTRUM FACILITY MANAGEMENT ( ACTING AS AN AGENT ON BEHALF OF THE CITY OF HAMILTON,50 MAIN ST W  HAMILTON ON,2022/01/17 00:00:00+00,15 287934 04 1S,Public Halls
12,HAMILTON BEACH RESCUE UNIT INC,316 BEACH BLVD  HAMILTON ON,2022/07/12 00:00:00+00,17 292491 04 1S,Public Halls
13,HAMILTON CONSERVATION AUTHORITY,180 VAN WAGNER'S BEACH RD  HAMILTON ON,2022/08/29 00:00:00+00,14 274698 07 1S,Public Halls
14,HAMILTON POLICE ASSOCATION,555 UPPER WELLINGTON ST  HAMILTON ON L9A 3P8,2022/08/10 00:00:00+00,14 230811 07 1S,Public Halls
15,HAMILTON VETS SERVICE LEAGUE,1473 MAIN ST E  HAMILTON ON,2022/05/01 00:00:00+00,15 124919 07 1S,Public Halls
16,JET HALL,746 BARTON ST E  HAMILTON ON,2022/03/21 00:00:00+00,17 293349 03 1S,Public Halls
17,L. A. INDUSTRIES INC O/A SILVERWOOD BANQUET CENTRE,797 BARTON ST E  HAMILTON ON,2022/07/10 00:00:00+00,14 183130 07 1S,Public Halls
18,LANDMARK FARM INC,250 4TH CON RD W  FLAMBOROUGH,2022/09/14 00:00:00+00,15 287848 06 1S,Public Halls
19,LIUNA HOSPITALITY CORPORATION O/A LIUNA STATION,360 JAMES ST N  HAMILTON ON L8L 1H5,2022/08/09 00:00:00+00,14 147910 07 1S,Public Halls
20,LOYAL ORDER OF THE MOOSE # 1142,1860 BARTON ST E  HAMILTON ON,2022/05/22 00:00:00+00,15 124916 07 1S,Public Halls
21,POLISH ALLIANCE OF CANADA HAMILTON INCORPORATED,1015 BARTON ST E  HAMILTON ON,2022/08/15 00:00:00+00,14 124930 07 1S,Public Halls
22,ROYAL CANADIAN LEGION - BRANCH 551,79 HAMILTON ST N  FLAMBOROUGH ON,2022/06/29 00:00:00+00,16 290825 05 1S,Public Halls
23,ROYAL CANADIAN LEGION BATTLEFIELD BRANCH 622,12 KING ST E  STONEY CREEK ON,2022/11/24 00:00:00+00,17 292646 04 1S,Public Halls
24,ROYAL CANADIAN LEGION BR 58,1180 BARTON ST E  HAMILTON ON,2022/03/10 00:00:00+00,15 287714 05 1S,Public Halls
25,SERBIAN COMMUNITY HALL CENTRE,1415 BARTON ST E  HAMILTON ON,2022/10/01 00:00:00+00,15 124906 07 1S,Public Halls
26,ST MARY'S CHURCH,56 MULBERRY ST  HAMILTON ON,2022/01/14 00:00:00+00,14 280357 06 1S,Public Halls
27,ST. STEPHEN OF HUNGARY CHURCH,134 BARTON ST E  HAMILTON ON L8L 2W4,2022/07/03 00:00:00+00,15 124905 07 1S,Public Halls
28,SUNSHINE BANQUET HALL INC,5 MERCHISON AVE  HAMILTON ON,2022/01/24 00:00:00+00,14 282270 06 1S,Public Halls
29,THE HOSPITALITY CENTRE CORP O/A HAMILTON CONVENTION CENTRE BY CARMEN'S,50 MAIN ST W  HAMILTON ON,2022/03/24 00:00:00+00,13 284928 06 1S,Public Halls
30,UKRAINIAN NATIONAL FEDERATION,170 PARKDALE AVE N  HAMILTON ON,2022/08/21 00:00:00+00,15 124927 07 1S,Public Halls
31,UNITED STEELWORKERS CENTRE,1031 BARTON ST E  HAMILTON ON L8L 3E3,2022/04/30 00:00:00+00,15 287411 06 1S,Public Halls
32,VENETIAN CLUB OF HAMILTON,269 JOHN ST N  HAMILTON ON,2022/07/24 00:00:00+00,15 124909 07 1S,Public Halls
33,WINONA VINE ESTATES,269 GLOVER RD  STONEY CREEK ON L8E 5H6,2022/10/15 00:00:00+00,11 282050 06 1S,Public Halls
